"","MONTH","WKDY_IM","HOUR_IM","REL_ROAD","LGTCON_IM","WEATHR_IM","VTRAFWAY","VSURCOND","VTRAFCON","SPEEDREL","PCRASH1_IM","PBSEX","PBCWALK","PBSWALK","PEDPOS","MOTMAN","PEDCGP","MDRDSTRD","DRIMPAIR","MVISOBSC","MTM_CRSH","NMIMPAIR","MPR_ACT","INJ_SEV","PBAGE","BDYcats","SPcats","LIMcats"
"1","wint","wkday","morn","onRoad","day","clear","twoWayNoDivide","dry","none","yes","11","male","0","1","shoulder","unk","460","no","no","no","0","notImpair","3","FALSE","46_60","auto","0_5","45"
"5","wint","fri","morn","onRoad","day","clear","twoWayDivide","dry","unk","no","10","female","1","0","crossWalk","right","790","no","no","no","0","notImpair","3","TRUE","61_75","auto","0_5","25"
"6","wint","sat","aftern","onRoad","day","clear","unk","dry","none","no","4","female","0","0","lane","unk","990","no","no","no","0","notImpair","99","FALSE","16_30","auto","unk","25"
"7","wint","sun","aftern","onRoad","day","clear","twoWayNoDivide","dry","none","no","1","male","0","0","lane","unk","750","no","no","no","2","tempImpair","3","TRUE","31_45","auto","unk","25"
"8","wint","wkday","aftern","onRoad","day","clear","nonTraffic","unk","none","unk","13","female","0","1","shoulder","unk","200","yes","no","yes","0","notImpair","9","FALSE","0_15","auto","unk","none"
"10","wint","wkday","morn","onRoad","day","clear","nonTraffic","unk","none","no","13","male","0","1","shoulder","unk","200","yes","no","no","0","notImpair","99","FALSE","0_15","auto","unk","none"
"12","wint","wkday","morn","onRoad","day","clear","oneWay","unk","none","no","1","female","0","0","lane","unk","740","yes","no","yes","11","notImpair","3","FALSE","16_30","auto","unk","unk"
"16","wint","wkday","nightEarly","onRoad","darkLgt","clear","twoWayNoDivide","dry","lightSignal","no","1","female","0","0","lane","straight","750","no","no","no","2","notImpair","3","TRUE","16_30","auto","20_25","45"
"17","wint","wkday","nightEarly","onRoad","darkLgt","clear","twoWayNoDivide","dry","lightSignal","no","1","female","0","0","lane","straight","750","no","no","no","12","notImpair","3","TRUE","16_30","auto","20_25","45"
"18","wint","wkday","nightEarly","onRoad","darkLgt","rain","twoWayNoDivide","wet","lightSignal","unk","1","male","1","0","lane","straight","750","yes","no","yes","2","notImpair","3","TRUE","46_60","lightTruck","unk","30"
